temp_array, energy_by_T_array, magnetization_by_T_array
0.100000,-3.000000,-1.000000
0.200000,-3.000000,-1.000000
0.300000,-3.000000,-1.000000
0.400000,-3.000000,-1.000000
0.500000,-3.000000,-1.000000
0.600000,-3.000000,-1.000000
0.700000,-3.000000,-1.000000
0.800000,-3.000000,-1.000000
0.900000,-3.000000,-1.000000
1.000000,-3.000000,-1.000000
1.100000,-3.000000,-1.000000
1.200000,-2.999525,-0.999921
1.300000,-2.998455,-0.999743
1.400000,-2.998099,-0.999683
1.500000,-2.996436,-0.999406
1.600000,-2.994099,-0.999010
1.700000,-2.990218,-0.998356
1.800000,-2.984871,-0.997465
1.900000,-2.977386,-0.996198
2.000000,-2.968079,-0.994594
2.100000,-2.956436,-0.992535
2.200000,-2.945545,-0.990653
2.300000,-2.926099,-0.987287
2.400000,-2.909149,-0.984257
2.500000,-2.889624,-0.980851
2.600000,-2.862297,-0.975842
2.700000,-2.828792,-0.969485
2.800000,-2.788475,-0.962040
2.900000,-2.757030,-0.955762
3.000000,-2.705584,-0.945604
3.100000,-2.663248,-0.937426
3.200000,-2.602891,-0.924772
3.300000,-2.559208,-0.915347
3.400000,-2.480990,-0.898713
3.500000,-2.404911,-0.881327
3.600000,-2.305624,-0.858693
3.700000,-2.235960,-0.841050
3.800000,-2.147802,-0.818277
3.900000,-2.042970,-0.788653
4.000000,-1.941307,-0.760099
4.100000,-1.812673,-0.720396
4.200000,-1.626297,-0.648059
4.300000,-1.481030,-0.587604
4.400000,-1.280436,-0.208099
4.500000,-1.100792,0.179129
4.600000,-0.989386,0.148574
4.700000,-0.912911,0.053861
4.800000,-0.850495,-0.023287
4.900000,-0.807921,-0.006020
5.000000,-0.779327,-0.025703
5.100000,-0.752673,-0.007723
5.200000,-0.736554,-0.021861
5.300000,-0.697069,0.005149
5.400000,-0.698020,-0.021861
5.500000,-0.668871,0.004594
5.600000,-0.648950,-0.008475
5.700000,-0.640119,-0.006950
5.800000,-0.639762,-0.006594
5.900000,-0.606891,-0.012178
6.000000,-0.582337,-0.016158
