temp_array, energy_by_T_array, magnetization_by_T_array
10.000000,-0.596871,-0.002000
9.900000,-0.593109,0.011366
9.800000,-0.592673,0.006832
9.700000,-0.596317,0.003980
9.600000,-0.607485,0.011406
9.500000,-0.604396,0.003347
9.400000,-0.614376,0.009545
9.300000,-0.620238,-0.003901
9.200000,-0.620317,-0.001129
9.100000,-0.607050,0.006178
9.000000,-0.630693,0.017188
8.900000,-0.638297,-0.002277
8.800000,-0.633822,0.016119
8.700000,-0.643327,0.019663
8.600000,-0.654891,0.006198
8.500000,-0.664911,0.000297
8.400000,-0.653822,0.018139
8.300000,-0.659842,0.006752
8.200000,-0.659881,0.007564
8.100000,-0.664079,-0.000455
8.000000,-0.665228,0.009287
7.900000,-0.670218,0.010574
7.800000,-0.683129,0.004079
7.700000,-0.685980,0.020396
7.600000,-0.704792,0.015248
7.500000,-0.712396,0.014673
7.400000,-0.710653,0.018396
7.300000,-0.723248,0.000891
7.200000,-0.724515,0.040515
7.100000,-0.731208,0.019723
7.000000,-0.758059,0.017703
6.900000,-0.757941,-0.002079
6.800000,-0.773465,0.030475
6.700000,-0.785545,0.053446
6.600000,-0.794574,-0.017446
6.500000,-0.823446,0.032851
6.400000,-0.816713,0.019149
6.300000,-0.841109,0.051604
6.200000,-0.861386,0.006455
6.100000,-0.884475,0.051129
6.000000,-0.915525,-0.013941
5.900000,-0.959564,-0.052455
5.800000,-0.998416,-0.019386
5.700000,-1.029703,0.090376
5.600000,-1.072277,0.161485
5.500000,-1.143644,-0.415109
5.400000,-1.196000,0.393109
5.300000,-1.289941,0.135782
5.200000,-1.384396,0.567525
5.100000,-1.426614,0.593545
5.000000,-1.501347,0.625762
4.900000,-1.584990,0.664139
4.800000,-1.627881,0.673960
4.700000,-1.702297,0.700475
4.600000,-1.804198,0.733168
4.500000,-1.842614,0.743327
4.400000,-1.907564,0.759446
4.300000,-2.007604,0.790178
4.200000,-2.042416,0.798416
4.100000,-2.130495,0.821030
4.000000,-2.194337,0.836436
3.900000,-2.240950,0.847941
3.800000,-2.293426,0.858832
3.700000,-2.388000,0.881248
3.600000,-2.422257,0.887762
3.500000,-2.474178,0.899050
3.400000,-2.545109,0.914198
3.300000,-2.600475,0.925782
3.200000,-2.642970,0.934020
3.100000,-2.680158,0.941366
3.000000,-2.723287,0.949861
2.900000,-2.764356,0.957505
2.800000,-2.798772,0.964238
2.700000,-2.822772,0.968594
2.600000,-2.853663,0.974218
2.500000,-2.883010,0.979624
2.400000,-2.903802,0.983267
2.300000,-2.925267,0.987109
2.200000,-2.946891,0.990950
2.100000,-2.955287,0.992356
2.000000,-2.966851,0.994376
1.900000,-2.978455,0.996376
1.800000,-2.984079,0.997307
1.700000,-2.988436,0.998059
1.600000,-2.994574,0.999089
1.500000,-2.996554,0.999426
1.400000,-2.998218,0.999703
1.300000,-2.999168,0.999861
1.200000,-2.999287,0.999881
1.100000,-2.999881,0.999980
1.000000,-3.000000,1.000000
0.900000,-3.000000,1.000000
0.800000,-3.000000,1.000000
0.700000,-3.000000,1.000000
0.600000,-3.000000,1.000000
0.500000,-3.000000,1.000000
0.400000,-3.000000,1.000000
0.300000,-3.000000,1.000000
0.200000,-3.000000,1.000000
0.100000,-3.000000,1.000000
