temp_array, energy_by_T_array, magnetization_by_T_array, specific_heat_by_T_array, susceptibility_by_T_array
6.000000,-0.567564,0.000990,0.000203,0.000781
5.900000,-0.576277,0.002535,0.000225,0.001074
5.800000,-0.586139,0.005624,0.000206,0.000820
5.700000,-0.601069,0.016733,0.000290,0.001268
5.600000,-0.633505,0.008594,0.000239,0.001356
5.500000,-0.627921,0.003822,0.000318,0.001277
5.400000,-0.648871,0.010812,0.000288,0.001666
5.300000,-0.687129,0.018812,0.000413,0.002459
5.200000,-0.704792,0.003822,0.000409,0.002763
5.100000,-0.715604,0.017842,0.000436,0.002776
5.000000,-0.772594,0.024099,0.000608,0.005247
4.900000,-0.791485,0.027069,0.000488,0.004809
4.800000,-0.847208,0.006673,0.000690,0.007845
4.700000,-0.885069,0.020733,0.000828,0.009293
4.600000,-0.969307,0.059564,0.001536,0.018467
4.500000,-1.055010,0.070871,0.001987,0.026847
4.400000,-1.286851,0.099762,0.002465,0.057109
4.300000,-1.473109,0.590693,0.002770,0.002304
4.200000,-1.603327,0.645644,0.002690,0.001746
4.100000,-1.759327,0.701307,0.003312,0.001711
4.000000,-1.899010,0.748792,0.003174,0.001590
3.900000,-2.012950,0.780277,0.003613,0.001897
3.800000,-2.104356,0.805842,0.003689,0.001919
3.700000,-2.211881,0.832752,0.004708,0.002132
3.600000,-2.292515,0.853168,0.004903,0.002200
3.500000,-2.366178,0.869267,0.004941,0.002442
3.400000,-2.452911,0.889406,0.005365,0.002355
3.300000,-2.509030,0.902040,0.006589,0.002616
3.200000,-2.585782,0.917703,0.007200,0.002702
3.100000,-2.631881,0.927168,0.007576,0.002851
3.000000,-2.676713,0.936277,0.008431,0.002970
2.900000,-2.719208,0.944950,0.009965,0.002897
2.800000,-2.765663,0.953723,0.010156,0.003239
2.700000,-2.801822,0.960970,0.011105,0.002839
2.600000,-2.830535,0.965267,0.012265,0.003808
2.500000,-2.854416,0.969980,0.013297,0.003658
2.400000,-2.875248,0.973327,0.015007,0.004162
2.300000,-2.895287,0.977089,0.015284,0.004113
2.200000,-2.912673,0.980554,0.017824,0.004100
2.100000,-2.926337,0.983089,0.019976,0.004208
2.000000,-2.456119,0.396733,0.014550,0.000855
1.900000,-2.948475,0.986634,0.024217,0.004922
1.800000,-2.952515,0.987624,0.027703,0.004929
1.700000,-2.960238,0.988812,0.031525,0.005410
1.600000,-2.963168,0.988851,0.032776,0.006039
1.500000,-2.967723,0.990059,0.039057,0.006018
1.400000,-2.968832,0.989644,0.042362,0.007082
1.300000,-2.970376,0.990000,0.048217,0.007418
1.200000,-2.970297,0.989802,0.058823,0.008498
1.100000,-2.970337,0.990693,0.072134,0.007841
1.000000,-2.970218,0.990277,0.088698,0.009453
