temp_array, energy_by_T_array, magnetization_by_T_array, specific_heat_by_T_array, susceptibility_by_T_array
6.000000,-0.564752,-0.006455,0.024740,0.001775
5.900000,-0.586020,0.002238,0.026944,0.000633
5.800000,-0.581386,0.002812,0.027580,0.000640
5.700000,-0.610970,-0.007564,0.030570,0.002731
5.600000,-0.625109,0.000436,0.032762,0.001742
5.500000,-0.643050,-0.013287,0.035255,0.004118
5.400000,-0.665069,0.006119,0.038340,0.000627
5.300000,-0.673149,0.001703,0.040493,0.001777
5.200000,-0.684158,0.000733,0.043036,0.001951
5.100000,-0.739564,0.010000,0.049963,0.001966
5.000000,-0.744594,-0.003604,0.052432,0.003505
4.900000,-0.789980,-0.017881,0.059556,0.008298
4.800000,-0.811921,0.018178,0.064695,0.002325
4.700000,-0.883248,-0.017366,0.076286,0.014675
4.600000,-0.931129,0.008673,0.086112,0.011796
4.500000,-1.088198,0.068911,0.114796,0.017694
4.400000,-1.261307,0.321228,0.149783,-0.016766
4.300000,-1.437465,0.569208,0.192199,-0.054443
4.200000,-1.579762,-0.635861,0.234198,0.249885
4.100000,-1.768396,-0.703386,0.294456,0.294099
4.000000,-1.869980,-0.734713,0.338907,0.320493
3.900000,-2.017030,0.782257,0.403750,-0.041884
3.800000,-2.116792,-0.807386,0.461095,0.386067
3.700000,-2.216198,-0.833208,0.524987,0.414897
3.600000,-2.291762,-0.853188,0.586917,0.441045
3.500000,-2.390733,-0.876376,0.667005,0.471991
3.400000,-2.431050,-0.885129,0.727474,0.493024
3.300000,-2.509109,-0.902416,0.815158,0.522571
3.200000,-2.581743,-0.917188,0.910225,0.552218
3.100000,-2.624792,0.925525,0.997723,-0.019486
3.000000,-2.678653,-0.936970,1.103912,0.607931
2.900000,-2.716040,0.944059,1.209213,-0.015054
2.800000,-2.751960,-0.951327,1.327095,0.666003
2.700000,-2.803644,0.960436,1.474321,-0.010446
2.600000,-2.831723,-0.965842,1.617915,0.733853
2.500000,-2.855723,0.969941,1.774759,-0.007878
2.400000,-2.878455,0.974455,1.953483,-0.006530
2.300000,-2.898416,0.977465,2.151932,-0.005255
2.200000,-2.916713,-0.980713,2.377591,0.887466
2.100000,-2.929584,0.983168,2.628973,-0.003418
2.000000,-2.937624,0.984931,2.912924,-0.003006
1.900000,-2.948079,-0.986257,3.247430,1.036157
1.800000,-2.955802,-0.987782,3.635685,1.096102
1.700000,-2.960752,0.988733,4.086384,-0.001235
1.600000,-2.962099,0.988990,4.619415,-0.000958
1.500000,-2.965426,0.989624,5.267647,-0.000577
1.400000,-2.968000,-0.989762,6.052683,1.413566
1.300000,-2.969030,-0.990040,7.026603,1.522971
1.200000,-2.969347,0.989960,8.247207,-0.000082
1.100000,-2.969861,-0.990515,9.817631,1.800505
1.000000,-2.970059,0.990337,11.880240,-0.000270
0.900000,-2.970297,-0.989782,14.667257,2.199834
0.800000,-2.971248,0.990693,18.565984,-0.000698
0.700000,-2.970614,0.990396,24.247990,-0.000412
0.600000,-2.969584,-0.991010,33.001463,3.301988
0.500000,-2.510851,0.356772,35.509881,-0.456782
0.400000,-2.424238,0.409782,52.235192,-0.601850
0.300000,-2.553901,0.686376,101.604745,-0.701471
0.200000,-2.376079,0.150634,201.976301,-0.638782
0.100000,-2.554337,0.548079,914.483311,-2.449383
