temp_array, energy_by_T_array, magnetization_by_T_array, susceptibility_by_T_array
10.000000,-0.311921,0.001228,0.000246
9.900000,-0.307327,0.004614,0.000190
9.800000,-0.315010,0.002752,0.000254
9.700000,-0.322139,0.012238,0.000224
9.600000,-0.315525,0.002257,0.000152
9.500000,-0.332158,0.003822,0.000233
9.400000,-0.332317,0.001208,0.000226
9.300000,-0.329267,0.008614,0.000298
9.200000,-0.343168,0.015723,0.000287
9.100000,-0.344713,0.007723,0.000223
9.000000,-0.346416,0.001960,0.000296
8.900000,-0.352396,0.004198,0.000284
8.800000,-0.350337,0.003168,0.000392
8.700000,-0.360911,0.005505,0.000271
8.600000,-0.359881,0.004693,0.000298
8.500000,-0.365624,0.002040,0.000289
8.400000,-0.379564,0.004594,0.000378
8.300000,-0.372911,0.000079,0.000339
8.200000,-0.390218,0.006436,0.000286
8.100000,-0.390851,0.000455,0.000309
8.000000,-0.389624,0.006020,0.000317
7.900000,-0.397109,0.006158,0.000394
7.800000,-0.409782,0.001149,0.000386
7.700000,-0.414218,0.004970,0.000343
7.600000,-0.415842,0.002931,0.000431
7.500000,-0.429228,0.005624,0.000434
7.400000,-0.439525,0.015723,0.000400
7.300000,-0.451762,0.001980,0.000555
7.200000,-0.444792,0.010198,0.000469
7.100000,-0.440950,0.011584,0.000462
7.000000,-0.458297,0.005980,0.000621
6.900000,-0.478891,0.000337,0.000568
6.800000,-0.486376,0.002594,0.000520
6.700000,-0.492673,0.010178,0.000627
6.600000,-0.500950,0.002832,0.000727
6.500000,-0.531406,0.001921,0.000746
6.400000,-0.527485,0.005782,0.000454
6.300000,-0.516911,0.015347,0.000726
6.200000,-0.534574,0.007069,0.000959
6.100000,-0.547129,0.009030,0.000931
6.000000,-0.564000,0.000059,0.001041
5.900000,-0.576079,0.000495,0.001291
5.800000,-0.592634,0.012931,0.001189
5.700000,-0.606376,0.002554,0.001254
5.600000,-0.616832,0.001762,0.001603
5.500000,-0.657624,0.002099,0.001890
5.400000,-0.651366,0.012079,0.001829
5.300000,-0.682653,0.025624,0.002012
5.200000,-0.705426,0.016911,0.002695
5.100000,-0.719802,0.034020,0.002721
5.000000,-0.752911,0.011960,0.003494
4.900000,-0.788238,0.008257,0.006230
4.800000,-0.828317,0.003842,0.005935
4.700000,-0.879287,0.060099,0.008587
4.600000,-0.942574,0.023505,0.016609
4.500000,-1.123802,0.277307,0.021334
4.400000,-1.268594,0.073584,0.055420
4.300000,-1.473861,0.314099,0.059882
4.200000,-1.604000,0.640376,0.002229
4.100000,-1.763050,0.703743,0.001877
4.000000,-1.883010,0.741446,0.001937
3.900000,-1.993624,0.774158,0.001890
3.800000,-2.120554,0.809426,0.001969
3.700000,-2.207564,0.832614,0.002085
3.600000,-2.300554,0.854059,0.002207
3.500000,-2.368317,0.869584,0.002302
3.400000,-2.446614,0.887624,0.002483
3.300000,-2.497901,0.899604,0.002546
3.200000,-2.566535,0.913762,0.002713
3.100000,-2.622772,0.925050,0.002834
3.000000,-2.665228,0.933465,0.002977
2.900000,-2.717703,0.943921,0.003125
2.800000,-2.769545,0.954040,0.003282
2.700000,-2.793901,0.958792,0.003434
2.600000,-2.830455,0.965505,0.003605
2.500000,-2.856713,0.970139,0.003782
2.400000,-2.877782,0.974040,0.003967
2.300000,-2.895762,0.977267,0.004164
2.200000,-2.915525,0.980693,0.004382
2.100000,-2.929030,0.983050,0.004610
2.000000,-2.940198,0.985010,0.004857
1.900000,-2.949347,0.986574,0.005127
1.800000,-2.954099,0.987366,0.005419
1.700000,-2.960554,0.988455,0.005750
1.600000,-2.964594,0.989149,0.006116
1.500000,-2.967129,0.989564,0.006529
1.400000,-2.967921,0.989703,0.006997
1.300000,-2.968277,0.989762,0.007536
1.200000,-2.969703,0.990000,0.008168
1.100000,-2.970178,0.990079,0.008911
1.000000,-2.572911,0.198099,0.000393
