temp_array, energy_by_T_array, magnetization_by_T_array, specific_heat_by_T_array, susceptibility_by_T_array
10.000000,-0.314337,0.002376,0.000044,0.000209
9.000000,-0.346535,0.003782,0.000066,0.000323
8.000000,-0.386535,0.001584,0.000087,0.000291
7.000000,-0.448713,0.002020,0.000108,0.000544
6.000000,-0.570812,0.002436,0.000211,0.001017
5.000000,-0.749624,0.002812,0.000581,0.002983
4.000000,-1.869188,0.738059,0.003486,0.001845
3.000000,-2.676238,0.935624,0.008478,0.002980
2.000000,-2.940752,0.985109,0.021689,0.004856
1.000000,-2.970297,0.990099,0.088227,0.009803
